a79a5efb	qb_song_Easy
d2eb9bb2	qb_song_Medium
2feddbbe	qb_song_Hard
5b834d47	qb_song_Expert
d2a62954	qb_Easy_Star
43273f4a	qb_Medium_Star
3ad6d4f2	qb_Hard_Star
6c49bfb8	qb_Expert_Star
f88e6bfe	qb_Easy_StarBattleMode
c81d1992	qb_Medium_StarBattleMode
a76e4c45	qb_Hard_StarBattleMode
4665be85	qb_Expert_StarBattleMode
1edd86ea	qb_Easy_Tapping
8e420e60	qb_Medium_Tapping
323f491c	qb_Hard_Tapping
a98b7de5	qb_Expert_Tapping
8620c5b7	qb_Easy_WhammyController
f163c19f	qb_Medium_WhammyController
241b584f	qb_Hard_WhammyController
bc52fd3a	qb_Expert_WhammyController
91593b82	qb_Easy_SoloMarkers
fa4d2274	qb_Medium_SoloMarkers
f6375e09	qb_Hard_SoloMarkers
c94f6b18	qb_Expert_SoloMarkers
9da910b0	qb_FaceOffP1
04a0410a	qb_FaceOffP2
5f7b8946	qb_FaceOffStar
b0527ff3	qb_song_rhythm_Easy
565b162c	qb_song_rhythm_Medium
3825fab6	qb_song_rhythm_Hard
df33c0d9	qb_song_rhythm_Expert
5b910d17	qb_rhythm_Easy_Star
a4704e6a	qb_rhythm_Medium_Star
b3e1f0b1	qb_rhythm_Hard_Star
8b1ece98	qb_rhythm_Expert_Star
c098f1b7	qb_rhythm_Easy_StarBattleMode
f97caf92	qb_rhythm_Medium_StarBattleMode
9f78d60c	qb_rhythm_Hard_StarBattleMode
77040885	qb_rhythm_Expert_StarBattleMode
2554f153	qb_rhythm_Easy_Tapping
7524c487	qb_rhythm_Medium_Tapping
09b63ea5	qb_rhythm_Hard_Tapping
52edb702	qb_rhythm_Expert_Tapping
b74173b7	qb_rhythm_Easy_WhammyController
d361e647	qb_rhythm_Medium_WhammyController
157aee4f	qb_rhythm_Hard_WhammyController
9e50dae2	qb_rhythm_Expert_WhammyController
fbd78e61	qb_rhythm_Easy_SoloMarkers
3415afd6	qb_rhythm_Medium_SoloMarkers
9cb9ebea	qb_rhythm_Hard_SoloMarkers
0717e6ba	qb_rhythm_Expert_SoloMarkers
149e34f3	qb_rhythm_FaceOffP1
8d976549	qb_rhythm_FaceOffP2
b82cf866	qb_rhythm_FaceOffStar
9e198c65	qb_song_guitarcoop_Easy
55f4b65d	qb_song_guitarcoop_Medium
166e0920	qb_song_guitarcoop_Hard
dc9c60a8	qb_song_guitarcoop_Expert
aa63c8a1	qb_guitarcoop_Easy_Star
fde18099	qb_guitarcoop_Medium_Star
42133507	qb_guitarcoop_Hard_Star
d28f006b	qb_guitarcoop_Expert_Star
ce676e94	qb_guitarcoop_Easy_StarBattleMode
276558d9	qb_guitarcoop_Medium_StarBattleMode
9187492f	qb_guitarcoop_Hard_StarBattleMode
a91dffce	qb_guitarcoop_Expert_StarBattleMode
01b9c33b	qb_guitarcoop_Easy_Tapping
10d75045	qb_guitarcoop_Medium_Tapping
2d5b0ccd	qb_guitarcoop_Hard_Tapping
371e23c0	qb_guitarcoop_Expert_Tapping
695884fc	qb_guitarcoop_Easy_WhammyController
